year,value
2000,30769700
2001,31021300
2002,31373000
2003,31676000
2004,31995100
2005,32312700
2006,32649900
2007,33001200
2008,33412700
2009,33831900
2010,34126600
2011,34484000
2012,34880500
2013,35295800
2014,35535300
2015,35832700
2016,36286400
2017,36708100
2018,37058900
2019,37593700
2020,38008000
2021,38246100
2022,38929900
2023,40097800
2024,41288800
